Department or other unit,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
International Assistance Programs,"3,171","3,169","3,226","3,248","3,260","3,375","2,814","2,803","2,655","2,888","2,980","2,317","3,029","3,665","3,742","1,329","3,616","5,123","3,757","7,747","8,127","7,922","7,878","10,835","11,858","11,040","10,406","7,252","4,291","10,085","11,723","11,107","11,524","10,497","11,128","9,665","10,075","8,886","10,070","12,087","11,804","13,289","13,449","13,639","15,024","13,917","12,752","11,359","14,797","20,041","20,583","20,009","19,672","18,740","24,006","25,866","24,746","23,435","22,982","23,213"
National Aeronautics and Space Administration,"1,257","2,552","4,171","5,092","5,933","5,425","4,722","4,251","3,752","3,382","3,423","3,312","3,255","3,269","3,671",953,"4,002","4,164","4,380","4,959","5,537","6,155","6,853","7,055","7,251","7,403","7,591","9,092","11,036","12,429","13,878","13,961","14,305","13,694","13,378","13,881","14,360","14,194","13,636","13,428","14,092","14,405","14,610","15,152","15,602","15,125","15,861","17,833","19,168","18,906","17,618","17,190","16,975","17,095","18,097","18,732","18,915","19,210","19,488","19,688"
National Science Foundation,183,206,310,309,368,415,449,490,464,522,567,585,647,662,733,207,753,803,870,912,976,"1,099","1,055","1,193","1,309","1,536","1,547","1,644","1,736","1,821","2,064","2,230","2,429","2,605","2,814","2,988","3,093","3,143","3,246","3,448","3,662","4,155","4,690","5,092","5,403","5,510","5,488","5,785","5,958","6,719","7,146","7,255","7,417","7,053","7,082","7,487","8,605","7,717","7,820","7,743"
Office of Personnel Management,"1,017","1,175","1,304","1,454","1,726","1,934","2,154","2,284","2,652","3,167","3,776","4,607","5,708","7,062","8,323","2,354","9,633","10,962","12,663","15,056","18,096","19,983","21,278","22,590","23,727","23,955","26,966","29,191","29,073","31,949","34,808","35,596","36,794","38,596","41,276","42,870","45,404","46,297","47,519","48,655","50,894","52,540","54,135","56,547","59,500","62,400","58,431","64,393","72,302","69,915","74,090","79,457","83,867","87,917","94,672","97,185","96,363","99,491","103,363","107,224"
Small Business Administration,230,142,133,243,210,151,284,110,253,333,452,"1,317",753,666,624,94,758,"2,820","1,699","2,026","2,032",773,661,510,680,557,-65,-54,85,692,613,546,785,779,677,873,333,-77,57,-421,-570,493,"1,558","4,075","2,502",905,"1,175",528,"2,246","6,128","6,163","2,936",477,194,-571,990,855,"1,065","1,096","1,104"
Social Security Administration (On-Budget),..........,..........,..........,..........,..........,94,94,414,458,465,538,567,"2,750","5,279","5,576","1,290","6,014","6,595","6,228","7,087","7,862","8,520","29,854","17,651","16,793","19,316","16,524","18,113","18,709","17,276","19,008","24,943","28,143","31,164","31,037","30,694","34,309","37,542","40,021","45,121","40,007","45,816","46,333","49,008","54,556","53,252","54,917","58,602","78,657","70,758","155,316","188,241","109,849","81,184","88,581","99,495","100,012","100,319","109,943","115,529"
Social Security Administration (Off-Budget),"14,365","15,788","16,620","17,460","20,694","21,631","23,760","26,885","29,812","35,408","39,620","48,565","55,373","64,159","73,384","19,763","84,344","93,120","103,316","117,872","138,914","155,120","150,731","171,167","183,434","190,684","202,422","214,489","227,473","244,998","266,395","281,418","298,349","313,881","330,370","343,869","358,372","370,068","379,212","396,169","421,257","442,010","461,400","481,200","506,779","532,491","566,846","599,197","648,892","683,420","628,878","632,903","757,542","824,587","865,200","908,104","957,655","1,013,971","1,073,869","1,137,271"
Other Independent Agencies (On-Budget),"2,283","1,615","1,178","1,815","2,494","3,683","4,290","2,918","4,263","5,223","5,082","5,497","7,076","8,595","8,490","3,297","9,433","9,022","10,324","13,953","11,802","9,184","8,644","8,846","7,051","8,871","10,475","19,020","30,727","68,704","76,870","14,405","-17,321","3,356","-5,996","2,743","-2,813","10,878","6,189","8,803","11,386","16,705","14,579","10,103","16,766","14,003","12,913","47,221","47,631","-7,525","17,457","30,021","28,180","9,087","20,265","19,973","19,055","19,168","21,214","24,530"
Other Independent Agencies (Off-Budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,355,157,773,"1,112","1,085",-726,-173,-496,-891,-431,89,-553,322,360,142,42,943,"1,712",-310,"1,626","1,317",659,"1,441","1,103","-1,969",-180,-49,217,"1,021","2,029","2,302",-651,"-5,245","-4,130","-1,791","-1,075","5,093","2,417",304,"4,700",808,"2,670","-1,913","-2,531",-558,"-1,608","1,913","1,327",280,282
Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,875","-22,254","20,563","67,855","37,389","39,289"
Undistributed Offsetting Receipts,"-6,707","-7,274","-7,321","-7,677","-8,443","-9,578","-10,712","-11,087","-12,567","-14,869","-14,672","-18,846","-23,333","-21,267","-22,186","-4,477","-23,018","-24,250","-27,428","-31,988","-41,852","-42,165","-51,078","-52,329","-58,656","-65,036","-72,262","-78,789","-89,074","-98,930","-110,005","-117,111","-119,711","-123,469","-137,632","-134,997","-154,969","-161,034","-159,036","-173,019","-191,125","-200,706","-210,449","-212,526","-226,213","-237,548","-260,206","-277,791","-274,193","-267,886","-276,478","-230,682","-249,450","-246,158","-286,729","-249,879","-249,907","-244,204","-250,979","-254,725"
(On-budget),"-5,878","-6,450","-6,435","-6,746","-7,464","-8,371","-9,289","-9,407","-10,362","-12,288","-11,909","-15,870","-20,048","-17,547","-18,411","-4,135","-19,390","-20,788","-24,089","-28,445","-38,134","-38,448","-47,455","-46,975","-52,029","-57,850","-63,672","-66,992","-72,822","-77,371","-83,979","-87,372","-86,507","-87,857","-97,895","-92,212","-107,272","-107,353","-99,581","-105,586","-114,404","-115,009","-117,303","-114,967","-123,436","-128,201","-141,904","-150,928","-142,013","-134,448","-145,398","-102,697","-127,632","-130,155","-174,707","-141,786","-143,510","-139,736","-145,628","-151,995"
(Off-budget),-830,-824,-886,-931,-979,"-1,207","-1,424","-1,681","-2,205","-2,582","-2,763","-2,975","-3,284","-3,719","-3,775",-342,"-3,627","-3,463","-3,338","-3,543","-3,718","-3,717","-3,623","-5,354","-6,627","-7,186","-8,590","-11,798","-16,252","-21,558","-26,026","-29,739","-33,203","-35,612","-39,737","-42,785","-47,697","-53,681","-59,455","-67,433","-76,721","-85,697","-93,146","-97,559","-102,777","-109,347","-118,302","-126,863","-132,180","-133,438","-131,080","-127,985","-121,818","-116,003","-112,022","-108,093","-106,397","-104,468","-105,351","-102,730"
Total outlays,"106,821","111,316","118,528","118,228","134,532","157,464","178,134","183,640","195,649","210,172","230,681","245,707","269,359","332,332","371,792","95,975","409,218","458,746","504,028","590,941","678,241","745,743","808,364","851,805","946,344","990,382","1,004,017","1,064,416","1,143,743","1,252,993","1,324,226","1,381,529","1,409,386","1,461,752","1,515,742","1,560,484","1,601,116","1,652,458","1,701,842","1,788,950","1,862,846","2,010,894","2,159,899","2,292,841","2,471,957","2,655,050","2,728,686","2,982,544","3,517,677","3,457,079","3,603,059","3,536,951","3,454,647","3,506,089","3,758,577","3,999,467","4,217,798","4,423,296","4,652,637","4,886,367"
