Department_or_other_unit,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Office of Personnel Management,"8,870","2,406","10,255","11,631","13,314","15,711","18,595","20,810","22,302","23,530","24,616","26,294","27,299","30,164","32,163","35,224","36,782","35,765","39,345","40,380","42,923","43,814","44,847","47,352","48,710","50,463","53,144","55,306","57,316","59,932","63,076","66,756","61,633","65,951","74,439","72,434","79,435","83,630","86,973","89,745","96,127","99,348","98,878","102,577","106,678","110,774"
Small Business Administration,621,31,"1,068","3,555","2,081","2,145","1,355",748,"1,278",971,"1,254",714,604,418,421,928,464,"1,891","1,177","2,058",792,"1,089",838,243,342,100,-68,604,"1,625","4,222","3,345","1,755",528,"1,317","2,564","6,472","5,454","2,724",952,139,-715,"2,121",717,730,738,747
Social Security Administration (On-Budget),"6,044","1,506","6,612","5,991","6,266","7,144","7,899","8,613","30,451","17,831","19,968","15,931","16,412","18,330","18,628","17,425","20,576","23,986","28,081","32,376","32,551","30,349","34,413","36,022","39,797","45,112","43,259","43,913","46,157","49,939","54,777","53,360","56,663","58,500","78,406","70,198","154,714","188,759","109,001","83,745","89,288","99,164","100,261","100,446","109,840","115,484"
Social Security Administration (Off-Budget),"74,019","20,019","84,909","93,712","104,233","119,278","140,404","156,238","150,984","171,710","184,648","191,782","203,461","216,285","228,432","246,875","268,531","283,365","300,089","315,450","327,808","346,315","359,155","371,321","380,267","398,770","428,670","447,951","463,279","481,699","515,130","536,159","569,627","601,826","654,799","683,908","629,821","637,241","760,588","828,419","869,510","912,228","962,212","1,019,013","1,079,344","1,143,064"
Other Independent Agencies (On-Budget),"17,692","4,105","8,692","8,981","10,957","28,922","17,122","11,647","9,183","10,100","10,091","11,495","12,993","20,873","61,160","56,032","83,643","50,221","16,415","32,061","14,324","12,500","12,726","18,130","12,901","14,917","14,595","18,724","14,486","15,241","16,695","16,285","15,517","31,701","49,837","17,855","19,760","23,324","25,258","26,409","29,015","40,543","30,115","31,157","32,220","34,262"
Other Independent Agencies (Off-Budget),..........,..........,..........,..........,..........,..........,..........,..........,200,919,"1,430","1,788","2,294",941,"1,610","3,083","3,301","2,198","2,239","2,732","2,554","3,441","3,725","6,359","5,607","3,712","4,064","3,071","5,386","2,057","1,005","3,693","8,899","9,677","6,578","4,700",996,"2,255",..........,-3,259,532,271,277,280,282
Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"7,500","-17,754","24,495","69,585","38,978","38,198"
Undistributed Offsetting Receipts,"-22,186","-4,477","-23,018","-24,250","-27,428","-31,988","-41,852","-42,165","-51,078","-52,329","-58,656","-65,036","-72,262","-78,789","-89,074","-98,930","-110,005","-117,111","-119,711","-123,469","-137,632","-134,997","-154,969","-161,034","-159,036","-173,019","-191,125","-200,706","-210,449","-212,526","-226,213","-237,548","-260,206","-277,791","-274,193","-267,886","-276,478","-230,682","-249,450","-246,158","-286,729","-249,879","-249,907","-244,204","-250,979","-254,725"
(On-budget),"-18,411","-4,135","-19,390","-20,788","-24,089","-28,445","-38,134","-38,448","-47,455","-46,975","-52,029","-57,850","-63,672","-66,992","-72,822","-77,371","-83,979","-87,372","-86,507","-87,857","-97,895","-92,212","-107,272","-107,353","-99,581","-105,586","-114,404","-115,009","-117,303","-114,967","-123,436","-128,201","-141,904","-150,928","-142,013","-134,448","-145,398","-102,697","-127,632","-130,155","-174,707","-141,786","-143,510","-139,736","-145,628","-151,995"
(Off-budget),"-3,775",-342,"-3,627","-3,463","-3,338","-3,543","-3,718","-3,717","-3,623","-5,354","-6,627","-7,186","-8,590","-11,798","-16,252","-21,558","-26,026","-29,739","-33,203","-35,612","-39,737","-42,785","-47,697","-53,681","-59,455","-67,433","-76,721","-85,697","-93,146","-97,559","-102,777","-109,347","-118,302","-126,863","-132,180","-133,438","-131,080","-127,985","-121,818","-116,003","-112,022","-108,093","-106,397","-104,468","-105,351","-102,730"
Total budget authority,"420,870","96,610","468,450","504,565","558,829","670,062","740,300","806,522","869,841","923,384","1,028,252","1,013,934","1,033,008","1,091,310","1,195,894","1,286,164","1,386,065","1,467,388","1,474,333","1,529,205","1,539,653","1,580,911","1,642,778","1,692,152","1,776,660","1,824,870","1,958,871","2,090,012","2,266,057","2,408,175","2,582,641","2,780,398","2,863,068","3,326,275","4,077,475","3,484,600","3,509,881","3,576,168","3,478,366","3,618,987","3,797,962","4,066,474","4,215,690","4,464,235","4,698,777","4,947,060"
