Function,Subfunction,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
600 Income Security,609 Other income security,"12,434","3,217","13,515","13,027","13,592","17,915","20,206","18,259","21,561","22,274","23,269","24,931","26,147","29,263","31,128","32,523","41,547","46,232","52,078","60,732","66,224","68,604","77,522","77,370","84,417","87,324","91,025","98,367","106,602","113,350","129,923","117,572","126,828","166,009","158,884","178,635","184,319","163,512","169,129","178,034","178,336","192,528","197,272","196,038","204,868","209,730"
600 Income Security,"Total, Income Security","74,224","13,684","89,124","89,398","88,335","110,344","121,028","114,492","123,941","118,134","131,589","121,037","122,531","128,498","134,318","147,273","181,172","203,521","218,023","221,033","219,077","226,486","232,079","236,057","243,643","249,761","273,506","309,908","329,680","334,368","349,040","351,094","368,026","426,172","610,571","624,042","583,672","548,860","533,629","525,988","520,530","549,610","559,529","564,720","582,474","594,290"
650 Social Security,651 Social security,"74,535","20,019","85,626","94,453","104,994","119,955","141,076","157,081","171,737","178,793","193,176","196,642","208,392","221,137","233,501","250,641","271,253","289,532","306,337","321,138","333,287","352,131","366,050","380,464","391,098","412,032","440,370","461,930","476,571","496,047","531,657","552,225","588,962","619,667","689,801","706,829","731,730","777,604","816,453","854,238","900,536","948,418","1,001,569","1,061,724","1,125,822","1,193,495"
650 Social Security,(On-budget),515,..........,717,741,761,677,672,844,"20,753","7,083","8,527","4,861","4,930","4,852","5,069","3,766","2,722","6,167","6,248","5,687","5,479","5,816","6,895","9,142","10,830","13,262","11,700","13,978","13,291","14,348","16,527","16,066","19,335","17,841","35,002","22,921","101,909","140,363","55,865","25,819","31,026","36,190","39,357","42,711","46,478","50,431"
650 Social Security,(Off-budget),"74,019","20,019","84,909","93,712","104,233","119,278","140,404","156,238","150,984","171,710","184,648","191,782","203,461","216,285","228,432","246,875","268,531","283,365","300,089","315,450","327,808","346,315","359,155","371,322","380,268","398,770","428,670","447,952","463,280","481,699","515,130","536,159","569,627","601,826","654,799","683,908","629,821","637,241","760,588","828,419","869,510","912,228","962,212","1,019,013","1,079,344","1,143,064"
700 Veterans Benefits and Services,701 Income security for veterans,"8,704","2,154","9,467","10,146","11,224","11,783","13,222","14,522","14,229","14,896","15,104","15,378","15,408","15,865","16,403","16,680","17,509","17,433","18,146","18,622","18,851","19,730","20,688","21,544","22,965","22,677","24,469","27,153","30,053","30,925","33,464","34,992","39,684","42,305","44,747","62,282","55,019","52,256","62,524","72,424","79,900","79,881","87,807","93,376","99,060","104,872"
700 Veterans Benefits and Services,"702 Veterans education, training, and rehabilitation","5,981","1,153","3,956","2,607","2,474","2,342","2,323","1,934","1,640","1,556","1,036",575,362,366,303,219,790,563,638,991,"1,047",972,"1,135","1,125",938,"1,255","1,608","1,938","2,040","2,412","2,653","2,997","2,523","2,824","3,766","8,593","10,396","12,195","11,274","13,310","15,040","15,353","16,795","17,616","18,493","19,433"
700 Veterans Benefits and Services,703 Hospital and medical care for veterans,"4,436","1,092","5,074","5,638","6,112","6,409","6,919","7,802","8,816","9,078","10,005","9,964","10,481","10,836","11,523","12,168","13,194","14,256","15,235","16,187","16,555","16,812","17,375","17,959","18,032","19,584","20,931","22,327","24,754","27,453","30,400","31,242","35,038","39,056","43,683","47,057","50,343","52,553","54,629","71,191","57,667","62,354","66,736","68,204","69,697","71,184"
700 Veterans Benefits and Services,704 Veterans housing,15,3,14,14,23,19,16,17,-63,214,322,214,114,"1,497",792,561,744,831,"1,196",203,628,226,-276,"1,161","1,107",796,-901,-878,520,"-1,944",892,"-1,218",-886,-414,-556,570,"1,285","1,414","1,336","2,145",568,335,329,394,462,518
700 Veterans Benefits and Services,705 Other veterans benefits and services,528,125,542,618,649,641,671,687,721,738,779,744,803,798,842,872,983,994,963,980,"1,050",994,984,963,"1,058","1,108","1,406","1,500","1,666","1,601","1,792","2,958","3,194","4,540","5,308","5,942","6,081","6,106","6,789","7,162","7,452","7,899","8,041","8,202","8,284","8,366"
700 Veterans Benefits and Services,"Total, Veterans Benefits and Services","19,664","4,527","19,053","19,023","20,481","21,194","23,150","24,963","25,341","26,483","27,246","26,875","27,169","29,362","29,863","30,499","33,221","34,076","36,178","36,983","38,131","38,734","39,906","42,752","44,100","45,420","47,513","52,040","59,033","60,447","69,201","70,971","79,553","88,311","96,948","124,444","123,124","124,524","136,552","166,232","160,627","165,822","179,708","187,792","195,996","204,373"
750 Administration of Justice,751 Federal law enforcement activities,"1,668",438,"1,789","2,008","2,189","2,342","2,561","2,801","3,212","3,590","3,879","3,897","4,908","5,319","4,965","5,398","6,169","6,919","6,989","7,021","7,785","8,286","9,748","11,206","11,895","12,161","13,763","17,219","18,108","19,725","20,561","21,826","24,716","27,786","29,257","30,436","28,380","27,734","27,217","27,824","29,043","30,888","31,466","32,139","32,489","32,835"
750 Administration of Justice,752 Federal litigative and judicial activities,726,187,863,"1,029","1,190","1,370","1,484","1,530","1,702","1,905","2,204","2,190","2,680","2,926","3,288","3,827","4,614","5,130","5,486","5,884","6,099","6,060","6,528","6,772","7,445","7,844","8,493","9,280","9,979","10,366","11,087","12,076","12,891","12,972","14,239","14,913","15,065","17,677","14,930","17,769","14,168","15,858","16,080","16,391","16,588","16,752"
750 Administration of Justice,753 Federal correctional activities,208,55,297,308,339,320,352,423,468,495,599,595,867,"1,059","1,553","2,578","1,728","2,101","1,937","2,222","2,557","2,881","3,183","3,097","3,299","3,667","4,303","4,614","4,441","4,768","4,776","4,931","5,444","5,660","6,177","6,205","6,381","6,597","6,525","6,859","6,916","7,345","7,493","7,642","7,718","7,796"
750 Administration of Justice,754 Criminal justice assistance,810,205,758,654,656,498,169,140,137,215,220,265,502,316,424,774,853,872,"1,006",905,"2,638","4,198","4,796","5,354","5,423","3,752","5,351","5,943","7,076","10,814","4,150","3,836","3,973","3,516","7,863","4,601","3,753","3,319","2,987","3,231","5,194","4,143","7,178","5,333","5,361","5,388"
750 Administration of Justice,"Total, Administration of Justice","3,411",884,"3,706","3,999","4,374","4,530","4,566","4,894","5,518","6,205","6,902","6,946","8,957","9,620","10,230","12,577","13,364","15,021","15,419","16,031","19,079","21,425","24,255","26,429","28,062","27,424","31,910","37,056","39,604","45,673","40,574","42,669","47,024","49,934","57,536","56,155","53,579","55,327","51,659","55,683","55,321","58,234","62,217","61,505","62,156","62,771"
800 General Government,801 Legislative functions,780,188,878,913,932,"1,111","1,036","1,175","1,418","1,443","1,358","1,412","1,572","1,602","1,785","1,811","2,021","2,137","2,108","2,106","2,172","1,926","2,006","2,073","2,345","2,240","2,725","2,927","3,149","3,173","3,280","3,438","3,548","3,639","4,102","4,237","4,108","3,953","3,699","3,878","3,914","4,182","4,280","4,365","4,413","4,458"
800 General Government,802 Executive direction and management,71,18,83,79,84,102,108,95,103,111,118,110,120,128,137,296,188,212,254,210,199,206,227,437,491,448,583,565,537,569,620,530,533,508,559,590,530,489,471,498,512,518,527,539,544,548
800 General Government,803 Central fiscal operations,"1,768",462,"1,912","2,118","2,375","2,667","2,809","2,928","3,395","3,621","3,854","4,032","4,761","5,159","6,021","6,032","6,288","7,037","7,295","7,707","7,751","7,640","7,426","10,873","9,739","8,466","9,330","9,827","11,692","9,903","10,171","10,675","10,651","11,438","12,400","12,697","12,583","12,430","11,771","12,118","11,771","15,533","14,171","14,784","15,378","15,990"
800 General Government,804 General property and records management,316,58,350,181,344,293,409,251,450,303,400,418,225,63,422,"2,249","2,024",432,681,719,270,275,578,34,528,-70,501,530,913,810,625,"1,097",486,701,"6,518",698,-612,-471,-871,"2,355",-140,"1,174",639,594,601,608
800 General Government,805 Central personnel management,99,25,109,126,133,145,162,141,142,148,149,136,141,145,151,161,171,179,186,185,177,154,150,149,154,161,170,180,212,207,237,210,203,195,188,203,198,199,194,204,205,237,241,247,248,251
800 General Government,806 General purpose fiscal assistance,"9,751","3,470","9,342","10,454","8,282","8,664","6,249","6,389","6,361","6,795","6,322","5,847","1,369","1,963","2,043","2,033","2,138","1,893","1,919","2,213","1,908","2,073","2,192","2,192","2,033","2,058","2,473","2,555","7,676","7,702","3,419","3,930","3,847","4,050","4,100","5,224","7,657","7,908","7,807","7,769","7,630","8,014","7,160","7,214","7,310","7,367"
800 General Government,808 Other general government,470,177,531,618,493,592,763,542,793,489,561,757,981,"1,803",812,719,"1,451","1,694","1,472",924,"1,685",837,"1,412",980,"2,294","2,105","2,077","2,153","2,774","2,495","1,357","1,141","1,699","1,463","3,354","1,717","2,839","4,043","5,613","4,268","1,458","2,106","1,503","1,503","1,509","1,514"
800 General Government,809 Deductions for offsetting receipts,-322,-150,-256,-289,-198,-351,-222,-216,-636,-513,-506,-78,-623,-694,-893,-361,-718,-480,-739,"-2,087","-1,077","-1,694","-1,497",-855,-884,"-2,383","-1,754",-812,"-1,745","-1,068","-2,841","-1,359","-2,346",-462,"-1,012","-1,721","-1,479","-2,006","-2,692",129,"-2,233","-2,290","-2,350","-2,370","-2,373","-2,424"
800 General Government,"Total, General Government","12,932","4,248","12,948","14,200","12,445","13,226","11,313","11,305","12,026","12,399","12,258","12,634","8,546","10,170","10,479","12,940","13,563","13,102","13,177","11,977","13,085","11,417","12,494","15,883","16,700","13,025","16,105","17,925","25,208","23,791","16,868","19,662","18,621","21,532","30,209","23,645","25,824","26,545","25,992","31,219","23,117","29,474","26,171","26,876","27,630","28,312"
900 Net Interest,901 Interest on Treasury debt securities (gross),"37,076","8,104","41,915","48,712","59,855","74,803","95,535","117,227","128,653","153,866","178,871","190,272","195,242","214,047","240,845","264,691","285,421","292,294","292,479","296,253","332,379","343,918","355,764","363,759","353,463","361,925","359,476","332,537","318,141","321,679","352,345","405,866","429,966","451,143","383,073","413,934","453,987","359,219","415,651","429,538","431,591","485,751","552,897","618,737","689,518","756,470"
900 Net Interest,902 Interest received by on-budget trust funds,"-4,988",-177,"-5,488","-6,128","-7,727","-9,707","-11,523","-13,995","-15,257","-17,044","-21,838","-26,628","-29,614","-34,406","-40,467","-46,321","-50,426","-54,193","-55,537","-56,494","-59,871","-60,869","-63,776","-67,208","-66,520","-69,290","-75,302","-76,494","-72,523","-67,761","-69,153","-71,574","-71,964","-77,821","-63,600","-67,268","-72,030","-14,753","-51,015","-57,848","-54,902","-55,176","-56,095","-57,549","-63,126","-67,542"
900 Net Interest,903 Interest received by off-budget trust funds,"-2,812",-93,"-2,650","-2,403","-2,224","-2,339","-2,288","-2,071","-1,845","-3,310","-4,118","-4,329","-5,290","-7,416","-11,395","-15,991","-20,222","-23,637","-26,788","-29,203","-33,305","-36,507","-41,214","-46,629","-52,070","-59,796","-68,811","-76,819","-83,544","-86,228","-91,836","-97,722","-106,003","-113,718","-117,954","-118,502","-115,981","-112,393","-105,650","-100,266","-96,009","-91,679","-89,418","-86,880","-86,922","-83,537"
900 Net Interest,908 Other interest,"-2,547",-887,"-3,875","-4,723","-7,273","-10,220","-12,958","-16,130","-21,742","-22,410","-23,437","-23,285","-21,732","-20,426","-19,857","-17,542","-20,757","-15,084","-11,431","-7,618","-7,055","-5,488","-6,788","-8,799","-5,115","-9,886","-9,197","-8,277","-6,464","-4,541","-3,957","-7,306","-10,102","-12,902","-14,964","-29,540","-35,363","-8,615","-35,043","-39,888","-50,538","-55,070","-45,282","-49,190","-55,081","-60,693"
900 Net Interest,(On-budget),"-2,547",-887,"-3,875","-4,723","-7,273","-10,220","-12,958","-16,130","-21,742","-22,410","-23,437","-23,285","-21,732","-20,426","-19,857","-17,542","-20,757","-15,084","-11,431","-7,618","-7,055","-5,488","-6,788","-8,798","-5,114","-9,886","-9,197","-8,276","-6,463","-4,541","-3,957","-7,306","-10,102","-12,902","-14,964","-29,540","-35,363","-8,615","-35,043","-39,888","-50,538","-55,070","-45,282","-49,190","-55,081","-60,693"
900 Net Interest,(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-1,-1,..........,..........,-1,-1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
900 Net Interest,909 Other investment income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-1,-1,-2,-2,..........,"-2,460","-2,972","-3,425","-2,661","-4,759","6,027",349,"-2,431",-142,"-3,537","-3,048","-2,568",-991,-777,-845,-885,-912,-928
900 Net Interest,"Total, Net Interest","26,729","6,948","29,901","35,459","42,630","52,538","68,767","85,032","89,808","111,102","129,479","136,030","138,606","151,799","169,127","184,837","194,016","199,380","198,724","202,937","232,148","241,054","243,986","241,122","229,757","222,951","206,164","170,947","153,150","160,177","183,974","226,603","237,138","252,729","186,904","196,193","230,471","219,921","220,895","228,968","229,151","283,049","361,257","424,233","483,477","543,770"
900 Net Interest,(On-budget),"29,541","7,040","32,551","37,861","44,855","54,877","71,055","87,102","91,653","114,412","133,597","140,359","143,897","159,215","180,522","200,828","214,238","223,017","225,512","232,141","265,453","277,561","285,200","287,752","281,828","282,747","274,975","247,767","236,695","246,405","275,810","324,325","343,141","366,447","304,858","314,695","346,452","332,314","326,545","329,234","325,160","374,728","450,675","511,113","570,399","627,307"
900 Net Interest,(Off-budget),"-2,812",-93,"-2,650","-2,403","-2,224","-2,339","-2,288","-2,071","-1,845","-3,310","-4,118","-4,329","-5,290","-7,416","-11,395","-15,991","-20,222","-23,637","-26,788","-29,203","-33,305","-36,507","-41,214","-46,630","-52,071","-59,796","-68,811","-76,820","-83,545","-86,228","-91,836","-97,722","-106,003","-113,718","-117,954","-118,502","-115,981","-112,393","-105,650","-100,266","-96,009","-91,679","-89,418","-86,880","-86,922","-83,537"
920 Allowances,923 Immigration Reform,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"8,000","11,000","18,000","24,000","28,000"
920 Allowances,924 Adjustment for Budget Control Act Caps (Non-Security),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-22,907","-23,743","-22,125","-26,998"
920 Allowances,925 Future Disaster Costs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"7,500","10,000","10,000","10,000","10,000","10,000"
920 Allowances,928 Adjustment to Benefit Payment Timing,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-37,600",..........,"37,600",..........,..........
920 Allowances,929 Placeholder for Outyear OCO Costs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"26,666","26,666","26,666","26,666"
920 Allowances,"Total, Allowances",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"7,500","-19,600","24,759","68,523","38,541","37,668"
950 Undistributed Offsetting Receipts,"951 Employer share, employee retirement (on-budget)","-10,761","-2,646","-11,528","-12,401","-13,095","-14,638","-16,473","-18,203","-21,706","-23,219","-24,648","-25,434","-27,259","-29,037","-29,425","-28,044","-30,402","-30,680","-28,186","-28,361","-27,961","-27,259","-27,773","-27,820","-28,209","-30,214","-30,883","-33,489","-39,751","-42,100","-47,977","-49,231","-49,476","-53,033","-56,431","-62,100","-64,581","-68,347","-65,155","-63,612","-67,883","-69,522","-70,218","-71,544","-73,204","-75,059"
950 Undistributed Offsetting Receipts,"952 Employer share, employee retirement (off-budget)",-963,-249,-977,"-1,060","-1,114","-1,204","-1,430","-1,646","-1,778","-2,044","-2,509","-2,857","-3,300","-4,382","-4,858","-5,567","-5,804","-6,101","-6,416","-6,409","-6,432","-6,278","-6,483","-7,052","-7,385","-7,637","-7,910","-8,878","-9,602","-11,331","-10,941","-11,625","-12,299","-13,145","-14,226","-14,936","-15,099","-15,592","-16,168","-15,737","-16,013","-16,414","-16,979","-17,588","-18,429","-19,193"
950 Undistributed Offsetting Receipts,953 Rents and royalties on the Outer Continental Shelf,"-2,662","-1,311","-2,374","-2,259","-3,267","-4,101","-10,138","-6,250","-10,491","-6,694","-5,542","-4,716","-4,021","-3,548","-2,929","-3,004","-3,150","-2,498","-2,785","-3,001","-2,418","-3,741","-4,711","-4,522","-3,098","-4,580","-7,194","-5,024","-5,029","-5,106","-6,146","-7,283","-6,763","-18,285","-5,292","-4,883","-6,383","-6,605","-8,874","-7,474","-6,422","-7,493","-7,727","-7,763","-8,098","-8,159"
950 Undistributed Offsetting Receipts,954 Sale of major assets,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-1,875",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-5,158",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-2,404","-12,992","-2,588",..........,..........,-120,-120,-130,-450,-120
950 Undistributed Offsetting Receipts,959 Other undistributed offsetting receipts,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-7,644",-342,"-11,006","-2,642","-1,753",-150,"-1,024",-1,..........,..........,-160,-111,"-13,700","-1,779","-16,690",-197,..........,..........,..........,"-1,221","-45,500","-9,475","-9,350","-2,750",-750,"-1,115"
950 Undistributed Offsetting Receipts,"Total, Undistributed Offsetting Receipts","-14,386","-4,206","-14,879","-15,720","-17,476","-19,942","-28,041","-26,099","-33,976","-31,957","-32,698","-33,007","-36,455","-36,967","-37,212","-36,615","-39,356","-39,280","-37,386","-37,772","-44,455","-37,620","-49,973","-47,194","-40,445","-42,581","-47,011","-47,392","-54,382","-58,537","-65,224","-68,250","-82,238","-86,242","-92,639","-82,116","-88,467","-103,536","-92,785","-88,044","-135,818","-103,024","-104,394","-99,775","-100,931","-103,646"
950 Undistributed Offsetting Receipts,(On-budget),"-13,423","-3,957","-13,902","-14,660","-16,362","-18,738","-26,611","-24,453","-32,198","-29,913","-30,189","-30,150","-33,155","-32,585","-32,354","-31,048","-33,553","-33,179","-30,970","-31,362","-38,023","-31,342","-43,490","-40,142","-33,060","-34,944","-39,101","-38,514","-44,780","-47,206","-54,283","-56,625","-69,939","-73,097","-78,413","-67,180","-73,368","-87,944","-76,617","-72,307","-119,805","-86,610","-87,415","-82,187","-82,502","-84,453"
950 Undistributed Offsetting Receipts,(Off-budget),-963,-249,-977,"-1,060","-1,114","-1,204","-1,430","-1,646","-1,778","-2,044","-2,509","-2,857","-3,300","-4,382","-4,858","-5,567","-5,804","-6,101","-6,416","-6,409","-6,432","-6,278","-6,483","-7,052","-7,385","-7,637","-7,910","-8,878","-9,602","-11,331","-10,941","-11,625","-12,299","-13,145","-14,226","-14,936","-15,099","-15,592","-16,168","-15,737","-16,013","-16,414","-16,979","-17,588","-18,429","-19,193"
Total budget authority,(On-budget),"350,626","76,933","387,168","414,316","457,934","554,327","603,614","654,001","722,279","756,109","848,801","827,551","835,843","885,881","982,104","1,057,765","1,140,259","1,211,564","1,205,208","1,246,635","1,249,028","1,273,940","1,327,595","1,368,153","1,450,241","1,489,821","1,602,858","1,724,687","1,890,538","2,021,978","2,169,283","2,349,893","2,402,844","2,841,635","3,548,278","2,929,430","3,010,144","3,064,657","2,839,596","2,906,574","3,040,215","3,261,807","3,359,604","3,549,413","3,724,504","3,906,444"
Total budget authority,(Off-budget),"70,244","19,677","81,282","90,250","100,895","115,735","136,686","152,521","147,562","167,275","179,452","186,384","197,165","205,429","213,790","228,399","245,806","255,824","269,125","282,570","290,625","306,971","315,183","323,999","326,419","335,049","356,013","365,325","375,519","386,197","413,358","430,505","460,224","484,640","529,197","555,170","499,737","511,511","638,770","712,413","757,747","804,667","856,086","914,822","974,273","1,040,616"
