Function,Subfunction,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
920 Allowances,928 Adjustment to Benefit Payment Timing,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-37,600",..........,"37,600",..........,..........
920 Allowances,929 Placeholder for Outyear OCO Costs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"15,824","23,832","25,645","26,184"
920 Allowances,"Total, Allowances",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,875","-24,100","20,740","67,261","36,886","38,793"
950 Undistributed Offsetting Receipts,"951 Employer share, employee retirement (on-budget)","-5,042","-5,188","-5,413","-5,572","-5,957","-6,242","-6,639","-7,026","-7,808","-8,417","-8,646","-8,759","-9,236","-10,258","-10,761","-2,646","-11,528","-12,401","-13,095","-14,638","-16,473","-18,203","-21,706","-23,219","-24,648","-25,434","-27,259","-29,037","-29,425","-28,044","-30,402","-30,680","-28,186","-28,361","-27,961","-27,259","-27,773","-27,820","-28,209","-30,214","-30,883","-33,489","-39,751","-42,100","-47,977","-49,231","-49,476","-53,033","-56,431","-62,100","-64,581","-68,347","-65,155","-63,612","-67,883","-69,522","-70,218","-71,544","-73,204","-75,059"
950 Undistributed Offsetting Receipts,"952 Employer share, employee retirement (off-budget)",-221,-242,-279,-282,-337,-415,-445,-532,-637,-640,-657,-695,-764,-916,-963,-249,-977,"-1,060","-1,114","-1,204","-1,430","-1,646","-1,778","-2,044","-2,509","-2,857","-3,300","-4,382","-4,858","-5,567","-5,804","-6,101","-6,416","-6,409","-6,432","-6,278","-6,483","-7,052","-7,385","-7,637","-7,910","-8,878","-9,602","-11,331","-10,941","-11,625","-12,299","-13,145","-14,226","-14,936","-15,099","-15,592","-16,168","-15,737","-16,013","-16,414","-16,979","-17,588","-18,429","-19,193"
950 Undistributed Offsetting Receipts,953 Rents and royalties on the Outer Continental Shelf,-12,-367,-16,-53,-248,-637,-961,-428,-187,"-1,051",-279,"-3,956","-6,748","-2,428","-2,662","-1,311","-2,374","-2,259","-3,267","-4,101","-10,138","-6,250","-10,491","-6,694","-5,542","-4,716","-4,021","-3,548","-2,929","-3,004","-3,150","-2,498","-2,785","-3,001","-2,418","-3,741","-4,711","-4,522","-3,098","-4,580","-7,194","-5,024","-5,029","-5,106","-6,146","-7,283","-6,763","-18,285","-5,292","-4,883","-6,383","-6,605","-8,874","-7,474","-6,422","-7,493","-7,727","-7,763","-8,098","-8,159"
950 Undistributed Offsetting Receipts,954 Sale of major assets,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-1,875",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-5,158",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-2,404","-12,992","-2,588",..........,..........,-120,-120,-130,-450,-120
950 Undistributed Offsetting Receipts,959 Other undistributed offsetting receipts,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-7,644",-342,"-11,006","-2,642","-1,753",-150,"-1,024",-1,..........,..........,-160,-111,"-13,700","-1,779","-16,690",-197,..........,..........,..........,"-1,221","-45,500","-9,475","-9,350","-2,750",-750,"-1,115"
950 Undistributed Offsetting Receipts,"Total, Undistributed Offsetting Receipts","-5,274","-5,797","-5,708","-5,908","-6,542","-7,294","-8,045","-7,986","-8,632","-10,107","-9,583","-13,409","-16,749","-13,602","-14,386","-4,206","-14,879","-15,720","-17,476","-19,942","-28,041","-26,099","-33,976","-31,957","-32,698","-33,007","-36,455","-36,967","-37,212","-36,615","-39,356","-39,280","-37,386","-37,772","-44,455","-37,620","-49,973","-47,194","-40,445","-42,581","-47,011","-47,392","-54,382","-58,537","-65,224","-68,250","-82,238","-86,242","-92,639","-82,116","-88,467","-103,536","-92,785","-88,044","-135,818","-103,024","-104,394","-99,775","-100,931","-103,646"
950 Undistributed Offsetting Receipts,(On-budget),"-5,053","-5,555","-5,429","-5,626","-6,205","-6,879","-7,600","-7,454","-7,995","-9,467","-8,926","-12,714","-15,985","-12,686","-13,423","-3,957","-13,902","-14,660","-16,362","-18,738","-26,611","-24,453","-32,198","-29,913","-30,189","-30,150","-33,155","-32,585","-32,354","-31,048","-33,553","-33,179","-30,970","-31,362","-38,023","-31,342","-43,490","-40,142","-33,060","-34,944","-39,101","-38,514","-44,780","-47,206","-54,283","-56,625","-69,939","-73,097","-78,413","-67,180","-73,368","-87,944","-76,617","-72,307","-119,805","-86,610","-87,415","-82,187","-82,502","-84,453"
950 Undistributed Offsetting Receipts,(Off-budget),-221,-242,-279,-282,-337,-415,-445,-532,-637,-640,-657,-695,-764,-916,-963,-249,-977,"-1,060","-1,114","-1,204","-1,430","-1,646","-1,778","-2,044","-2,509","-2,857","-3,300","-4,382","-4,858","-5,567","-5,804","-6,101","-6,416","-6,409","-6,432","-6,278","-6,483","-7,052","-7,385","-7,637","-7,910","-8,878","-9,602","-11,331","-10,941","-11,625","-12,299","-13,145","-14,226","-14,936","-15,099","-15,592","-16,168","-15,737","-16,013","-16,414","-16,979","-17,588","-18,429","-19,193"
Total outlays,Total outlays,"106,821","111,316","118,528","118,228","134,532","157,464","178,134","183,640","195,649","210,172","230,681","245,707","269,359","332,332","371,792","95,975","409,218","458,746","504,028","590,941","678,241","745,743","808,364","851,805","946,344","990,382","1,004,017","1,064,416","1,143,743","1,252,993","1,324,226","1,381,529","1,409,386","1,461,752","1,515,742","1,560,484","1,601,116","1,652,458","1,701,842","1,788,950","1,862,846","2,010,894","2,159,899","2,292,841","2,471,957","2,655,050","2,728,686","2,982,544","3,517,677","3,457,079","3,603,059","3,536,951","3,454,647","3,506,089","3,758,577","3,999,467","4,217,798","4,423,296","4,652,637","4,886,367"
Total outlays,(On-budget),"93,286","96,352","102,794","101,699","114,817","137,040","155,798","158,436","168,042","177,346","193,470","199,961","216,496","270,780","301,098","77,281","328,675","369,585","404,941","477,044","542,956","594,892","660,934","685,632","769,396","806,842","809,243","860,012","932,832","1,027,928","1,082,539","1,129,191","1,142,799","1,182,380","1,227,078","1,259,580","1,290,490","1,335,854","1,381,064","1,458,185","1,516,008","1,655,232","1,796,890","1,913,330","2,069,746","2,232,981","2,275,049","2,507,793","3,000,661","2,902,397","3,104,453","3,029,363","2,820,836","2,800,036","3,005,957","3,201,064","3,364,627","3,512,466","3,683,839","3,851,544"
Total outlays,(Off-budget),"13,535","14,964","15,734","16,529","19,715","20,424","22,336","25,204","27,607","32,826","37,212","45,746","52,862","61,552","70,695","18,695","80,543","89,161","99,087","113,898","135,285","150,851","147,430","166,173","176,949","183,540","194,774","204,404","210,911","225,065","241,687","252,338","266,587","279,372","288,664","300,904","310,626","316,604","320,778","330,765","346,838","355,662","363,009","379,511","402,211","422,069","453,637","474,751","517,016","554,682","498,606","507,588","633,811","706,053","752,620","798,403","853,171","910,830","968,798","1,034,823"
