Category,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Direct payments 2,1.8,1.8,1.4,1.1,0.9,0.8,2.3,3.6,3.1,3.2,4.4,2.7,2.7,2.5,2.7,3.1,3.1,3.3,3.9,4.0,4.0,4.5,4.5,4.5,4.4,4.2,4.2,4.6,4.9,5.1,5.4,6.3,6.5,6.7,7.1,8.5,9.0,8.6,8.6,8.2,8.1,8.8,9.2,9.7,10.1,9.3,9.4,8.9,8.8,8.7,8.6,8.7,9.2,9.7,9.8,9.7,9.7,9.6,9.5,9.2,8.8,8.6,8.8,9.4,9.8,9.5,9.5,9.7,9.8,10.4,12.1,12.9,12.8,12.2,12.2,12.1,12.3,12.4,12.3,12.3,12.6,12.7
Grants to State and local governments,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.5,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1.0,1.2,1.0,1.0,1.1,1.1,1.1,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.6,1.8,1.9,1.9,2.0,1.9,1.8,1.9,1.9,1.9,2.0,2.2,2.3,2.2,2.2,2.1,2.0,2.1,2.5,2.7,2.6,2.3,2.3,2.4,2.5,2.6,2.5,2.5,2.6,2.5
All other grants,0.6,0.4,0.3,0.3,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.1,1.2,1.4,1.3,1.4,1.5,1.6,2.0,1.9,2.0,2.1,2.3,2.2,2.3,2.1,2.1,1.8,1.5,1.4,1.3,1.3,1.3,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.1,1.2,1.1,1.1,1.1,1.0,1.0,1.2,1.4,1.3,1.1,1.0,0.9,1.0,0.9,0.9,0.9,0.9,0.8
Net Interest 2,0.9,0.8,0.7,0.8,1.0,1.4,1.8,1.8,1.7,1.6,1.7,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.9,2.2,2.6,2.5,2.8,3.0,3.0,2.9,2.9,3.0,3.1,3.2,3.1,2.9,2.8,3.1,3.0,2.9,2.7,2.4,2.2,2.0,1.6,1.4,1.3,1.4,1.7,1.7,1.7,1.3,1.3,1.5,1.4,1.3,1.3,1.3,1.5,1.8,2.1,2.2,2.4
All other 2,4.7,3.3,4.3,4.7,4.0,2.3,1.7,3.7,3.1,4.4,4.1,2.6,2.3,2.5,1.7,2.1,2.2,2.3,2.3,3.0,2.5,2.6,3.2,3.1,3.3,3.5,3.5,3.5,3.4,2.6,2.7,2.5,2.6,2.4,2.4,3.0,2.8,3.1,2.7,3.0,2.8,3.1,3.1,2.8,2.6,2.0,2.1,2.2,1.9,1.9,2.0,2.7,2.9,1.9,1.4,1.5,1.2,1.2,1.1,1.3,1.4,1.5,1.4,1.5,1.4,1.5,1.6,1.5,1.2,1.4,3.3,0.9,1.2,1.6,0.7,0.5,1.3,1.1,1.3,1.3,1.1,1.0
Undistributed offsetting receipts 2,-0.3,-0.5,-0.6,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.9,-0.9,-0.9,-0.9,-0.8,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.9,-0.9,-0.8,-0.8,-0.9,-0.8,-1.0,-1.1,-0.8,-0.8,-0.9,-0.7,-0.7,-0.7,-0.7,-0.9,-0.8,-1.0,-0.8,-0.8,-0.7,-0.8,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.5,-0.6,-0.5,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.8,-0.5,-0.5,-0.5,-0.5,-0.5
Total nondefense,8.0,6.2,6.4,6.4,5.7,4.3,5.5,9.1,7.9,9.3,10.3,6.7,6.0,6.1,5.6,6.3,6.4,6.7,7.5,8.5,8.2,8.8,9.3,9.4,9.6,9.5,9.8,10.3,10.7,10.3,10.9,11.7,12.4,12.5,12.8,15.3,15.8,15.6,15.4,15.5,15.1,16.3,16.6,16.9,16.9,15.8,16.2,15.8,15.1,15.0,15.1,16.1,17.2,16.8,16.5,16.4,16.4,16.2,15.7,15.5,15.0,14.7,14.7,15.3,15.5,15.2,15.3,15.6,15.2,16.0,19.8,18.7,18.8,17.8,17.0,16.8,17.6,18.0,18.3,18.6,18.9,19.1
Addendum: GDP ($ billions),98.2,116.2,147.7,184.6,213.8,226.4,228.0,238.9,262.4,276.8,279.0,327.4,357.5,382.5,387.7,407.0,439.0,464.2,474.3,505.6,535.1,547.6,586.9,619.3,662.9,710.7,781.9,838.2,899.3,982.3,"1,049.1","1,119.3","1,219.5","1,356.0","1,486.2","1,610.6","1,790.3",472.6,"2,028.4","2,278.2","2,570.0","2,796.8","3,138.4","3,313.9","3,541.1","3,952.8","4,270.4","4,536.1","4,781.9","5,155.1","5,570.0","5,914.6","6,110.1","6,434.7","6,794.9","7,197.8","7,583.4","7,978.3","8,483.2","8,954.8","9,510.5","10,148.2","10,564.6","10,876.9","11,332.4","12,088.6","12,888.9","13,684.7","14,322.9","14,752.4","14,414.6","14,798.5","15,379.2","16,026.4","16,581.6","17,244.0","17,985.0","18,818.6","19,708.6","20,616.8","21,539.9","22,476.4"
Total outlays,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
National defense 1,17.5,47.1,73.0,84.9,86.7,89.5,77.3,37.1,30.6,33.9,32.2,51.8,68.1,69.4,69.5,62.4,60.2,59.3,56.8,53.2,52.2,50.8,49.0,48.0,46.2,42.8,43.2,45.4,46.0,44.9,41.8,37.5,34.3,31.2,29.5,26.0,24.1,23.2,23.8,22.8,23.1,22.7,23.2,24.8,26.0,26.7,26.7,27.6,28.1,27.3,26.5,23.9,20.6,21.6,20.7,19.3,17.9,17.0,16.9,16.2,16.1,16.5,16.4,17.3,18.7,19.9,20.0,19.7,20.2,20.7,18.8,20.1,19.6,19.2,18.3,17.2,15.9,15.4,14.3,13.4,12.7,12.2
